country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Laos,2020,LAO,7346534,50856670244,2.351,0.32,18.294,-0.046,-0.253,40.409,-2.565,-5.969,5.5,0.795,0.605,2.49,0.36,0.274,13.293,1.809,14.101,1.919,0.277,14.791,150.065,2449.719,80.407,0,,3212.324,54.867,,9094.354,1.314,0,0,,,2.867,7.817,22.115,3.01,10.547,1.436,3.447,0.469,2.649,0.361,,,66.812,0.145,0.052,0.102,0.093,0.034,0.009,0.095,0.01,0,,0.362,0.009,,0,,0.49,0.024,,0.112,0,0.001,0.002,0,57.424,21.06,-4.192,-22.917
Latvia,2019,LVA,1914267,49380620266,0.561,0.293,7.633,-0.21,-2.674,9.559,-0.901,-8.615,4.994,0.194,0.211,3.988,0.155,0.169,0.166,0.087,15.073,7.874,0.305,15.47,946.873,1794.035,152.229,1.558,153.148,913.106,622.448,2.02,23645.102,0.917,0,0,2.548,1.331,4.782,7.642,1.926,1.006,2.35,1.227,2.213,1.156,4.303,2.248,0.028,0.054,45.263,0.035,0.021,0.023,0.001,0.037,0.057,0.071,0.02,0.009,0.064,0.103,0.108,0.016,0,0.034,0.039,0.035,0.012,0.056,0,0.001,0.001,0,14.628,9.153,7.44,97.462
Latvia,2020,LVA,1901119,48292861660,0.551,0.29,6.999,-0.634,-8.308,8.899,-0.66,-6.906,4.681,0.184,0.216,3.682,0.145,0.17,0.1,0.053,13.424,7.061,0.278,16.021,953.872,1802.934,152.329,1.558,155.251,915.006,626.622,2.091,21682.367,0.854,0,0,2.103,1.106,4.456,7.376,1.9,0.999,2.311,1.215,2.247,1.182,4.174,2.195,0.038,0.072,41.221,0.034,0.02,0.022,0.001,0.037,0.056,0.07,0.019,0.008,0.063,0.103,0.106,0.016,0,0.028,0.042,0.038,0.017,0.056,0,0.001,0.001,0,14.023,8.471,6.425,91.79
Least developed countries (Jones et al.),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.399,,371.626,,,,,,,,,,,,,,,,,,,,,,,,,6.013,0.034,0.051,0.094,0.008,3007.049,704.519,,
Least developed countries (Jones et al.),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.494,,385.086,,,,,,,,,,,,,,,,,,,,,,,,,6.031,0.035,0.052,0.095,0.008,3038.95,707.332,,
Lebanon,2019,LBN,5794601,68525451094,1.395,0.241,25.141,-0.671,-2.6,25.309,-0.398,-1.547,4.368,0.369,0.241,4.339,0.367,0.239,0.11,0.019,,,,68.071,704.987,715.838,13.846,0,,18.406,622.492,,18132.562,1.533,0,0,,,5.037,5.18,0.167,0.029,3.691,0.637,1.151,0.199,23.636,4.079,,,105.071,0.086,0.068,0.06,0.001,0.163,0.042,0.028,0.002,0,,0.002,0.108,,0,,0.003,0.192,,0.03,0,0,0,0,30.013,29.188,,
Lebanon,2020,LBN,5702400,50772560784,0.853,0.15,23.694,-1.447,-5.756,23.787,-1.522,-6.012,4.171,0.469,0.243,4.155,0.467,0.242,0.044,0.008,,,,68.923,728.681,739.625,13.89,0,,18.499,645.289,,17183.104,1.93,0,0,,,4.867,5.005,0.093,0.016,3.759,0.659,1.072,0.188,22.797,3.998,,,97.985,0.052,0.067,0.06,0,0.159,0.043,0.029,0.002,0,,0.002,0.109,,0,,0.002,0.209,,0.03,0,0,0,0,28.543,27.754,,
Lesotho,2019,LSO,2209414,4996214053,0,0,2.187,0.022,1.015,9.122,0.972,11.93,4.129,1.826,2.267,0.99,0.438,0.544,1.47,0.666,,,,0,59.632,148.092,45.831,0,,198.24,13.8,,1821.103,0.805,0,0,,,1.383,2.955,6.935,3.139,1.463,0.662,0.576,0.261,0.717,0.324,,,4.024,0,0.006,0.022,0.01,0,0.004,0.006,0.006,0,,0.022,0.002,,0,,0.142,0.006,,0.011,0,0,0,0,6.53,3.055,,
Lesotho,2020,LSO,2235727,4623560803,0,0,1.986,-0.202,-9.213,9.205,0.083,0.907,4.117,1.991,2.552,0.888,0.43,0.551,1.352,0.605,,,,0,61.617,157.297,47.183,0,,205.458,14.434,,1613.199,0.78,0,0,,,1.277,2.708,7.219,3.229,1.281,0.573,0.468,0.21,0.634,0.284,,,3.607,0,0.006,0.023,0.009,0,0.004,0.006,0.006,0,,0.023,0.002,,0,,0.16,0.006,,0.011,0,0,0,0,6.054,2.856,,
Liberia,2019,LBR,5043719,3959325948,0.133,0.026,0.932,0.323,53.075,25.215,-2.086,-7.641,4.999,6.369,6.96,0.185,0.235,0.257,,,,,,2.263,48.404,991.904,,0,,1875.378,46.141,,718.299,0.915,0,0,,,0.672,4.895,24.283,4.815,2.462,0.488,0.549,0.109,0.799,0.158,,,3.623,0.008,0.003,0.06,,0.005,0.003,0.039,,0,,0.212,0.008,,0,,0.497,0.006,,0.054,0,0.001,0.001,0,24.691,3.389,,
Liberia,2020,LBR,5149470,3845664451,0.161,0.031,0.777,-0.155,-16.628,24.599,-0.616,-2.444,4.777,6.397,8.71,0.151,0.202,0.275,,,,,,2.424,49.181,1016.503,,0,,1899.2,46.757,,548.427,0.734,0,0,,,0.637,4.653,23.822,4.626,2.485,0.483,0.513,0.1,0.616,0.12,,,2.824,0.01,0.002,0.062,,0.006,0.003,0.039,,0,,0.214,0.008,,0,,0.527,0.006,,0.054,0,0.001,0.001,0,23.961,3.279,,
Libya,2019,LBY,6951040,1.15851E+11,1.395,0.201,73.778,11.134,17.773,73.448,11.163,17.922,10.566,0.634,0.327,10.614,0.637,0.328,,,,,,67.736,2209.003,2270.794,,469.924,464.084,115.765,1206.134,,32330.232,1.94,9.633,1.386,18.484,2.659,14.591,14.964,-0.33,-0.048,28.804,4.144,1.907,0.274,44.266,6.368,,,224.729,0.086,0.199,0.175,,0.162,0.133,0.089,,2.594,0.195,0.013,0.208,,2.228,0.244,-0.007,0.359,,0.164,0.002,0.001,0.003,0,104.015,101.422,,
Libya,2020,LBY,7045403,81726075633,1.162,0.165,36.111,-37.668,-51.055,35.812,-37.636,-51.242,5.083,0.438,0.2,5.125,0.442,0.201,,,,,,68.898,2245.114,2306.606,,474.574,472.423,115.466,1228.092,,25440.334,2.193,4.651,0.66,8.339,1.184,6.833,7.191,-0.299,-0.042,13.217,1.876,1.786,0.254,21.958,3.117,,,179.237,0.072,0.103,0.09,,0.159,0.132,0.089,,2.563,0.193,0.013,0.208,,1.163,0.111,-0.007,0.201,,0.16,0.002,0.001,0.003,0,50.663,48.138,,
Liechtenstein,2019,LIE,38463,,0,0,0.149,0.006,4.266,0.132,0.006,4.527,3.431,,,3.865,,,0,0,,,,0,9.282,8.778,0.001,0,1.646,-0.287,7.634,0,,,0,0,0.05,1.308,4.12,4.187,-0.017,-0.433,0.024,0.614,0.007,0.189,0.098,2.557,0,0,,0,0,0,0,0,0.001,0,0,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0.161,0.158,,
Liechtenstein,2020,LIE,38793,,0,0,0.142,-0.007,-4.743,0.126,-0.006,-4.897,3.236,,,3.65,,,0,0,,,,0,9.424,8.903,0.001,0,1.695,-0.303,7.728,0,,,0,0,0.048,1.249,3.908,3.986,-0.016,-0.415,0.024,0.617,0.007,0.185,0.093,2.401,0,0,,0,0,0,0,0,0.001,0,0,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0,0,0,0,0,0.155,0.152,,
Lithuania,2019,LTU,2795057,78562641002,0.578,0.207,13.647,0.233,1.736,11.862,-1.466,-11,4.244,0.151,0.168,4.883,0.174,0.193,0.801,0.287,22.424,8.023,0.285,46.493,1544.869,2808.395,184.231,12.091,281.811,1395.29,1016.798,3.444,25257.848,0.899,0.234,0.084,3.877,1.387,6.326,8.821,-1.785,-0.639,3.318,1.187,6.19,2.215,8.119,2.905,0.014,0.038,70.597,0.036,0.037,0.028,0.005,0.111,0.093,0.11,0.024,0.067,0.119,0.158,0.176,0.027,0.054,0.051,-0.037,0.066,0.009,0.102,0,0.001,0.002,0,24.655,17.682,8.776,64.308
Lithuania,2020,LTU,2795766,78545278418,0.557,0.199,13.5,-0.148,-1.083,11.66,-0.202,-1.704,4.171,0.148,0.166,4.829,0.172,0.192,0.622,0.222,20.536,7.346,0.261,47.05,1558.369,2820.055,184.853,12.273,285.945,1393.45,1024.74,3.507,25143.193,0.895,0.182,0.065,4.134,1.479,6.126,8.605,-1.84,-0.658,3.101,1.109,6.083,2.176,7.942,2.841,0.023,0.063,70.294,0.034,0.038,0.029,0.004,0.108,0.092,0.109,0.023,0.066,0.117,0.157,0.174,0.027,0.045,0.055,-0.041,0.073,0.015,0.101,0,0.001,0.002,0,24.057,17.128,7.037,52.125
Low-income countries,2019,,660718421,,13.819,0.021,214.494,15.406,7.738,1293.952,-101.107,-7.247,1.958,1.421,1.535,0.325,0.236,0.255,71.232,0.108,66.49,0.101,0.073,383.017,9747.735,66360.18,4970.619,205.046,330.157,69419.617,3858.897,,1275.5,,4.37,0.007,8.852,0.013,0.667,2.828,1079.458,1.634,596.381,0.903,244.327,0.37,116.22,0.176,,,842.747,0.855,0.578,3.083,0.484,0.916,0.586,2.611,0.642,1.132,0.139,7.856,0.667,,1.011,0.117,22.088,0.943,,3.614,0.021,0.03,0.056,0.005,1868.351,440.406,-148.004,-69.002
Low-income countries,2020,,679560808,,13.206,0.019,207.23,-7.264,-3.386,1345.848,51.896,4.011,1.98,1.483,1.704,0.305,0.228,0.262,67.89,0.1,63.957,0.094,0.07,396.223,9954.966,67706.031,5038.51,209.766,338.065,70558.227,3972.403,,1162.153,,4.72,0.007,7.908,0.012,0.641,2.815,1138.618,1.676,612.204,0.901,255.393,0.376,113.507,0.167,,,789.754,0.813,0.589,3.392,0.476,0.912,0.586,2.623,0.639,1.133,0.138,7.944,0.673,,1.18,0.105,25.21,1.038,,3.63,0.021,0.031,0.057,0.005,1912.908,435.524,-143.273,-69.137
Lower-middle-income countries,2019,,2929401303,,305.513,0.104,4329.725,127.713,3.039,5699.569,-15.066,-0.264,1.946,0.305,0.343,1.478,0.232,0.26,2077.101,0.709,3935.853,1.344,0.211,4954.565,93782.695,244180.281,39537.312,2463.983,12731.246,197601.547,34095.59,,4943.302,,35.212,0.012,577.168,0.197,1.822,2.758,1369.845,0.468,2151.613,0.734,683.37,0.233,1334.731,0.456,,,14480.915,18.909,11.675,13.579,14.127,11.85,5.64,9.606,5.11,13.603,5.358,22.362,5.89,,8.143,7.62,28.029,10.829,,13.313,0.082,0.111,0.207,0.014,8079.858,5337.24,-393.872,-9.097
Lower-middle-income countries,2020,,2969245757,,286.673,0.097,4174.303,-155.422,-3.59,5501.83,-197.74,-3.469,1.853,0.306,0.347,1.406,0.232,0.263,2013.454,0.678,3783.072,1.274,0.211,5241.238,97957,249682.109,41550.766,2497.732,13300.677,198929.078,35366.586,,4656.378,,33.749,0.011,569.43,0.192,1.736,2.667,1327.527,0.447,2154.693,0.726,702.467,0.237,1270.996,0.428,,,13825.931,17.652,11.873,13.867,14.113,12.067,5.769,9.671,5.273,13.492,5.426,22.397,5.996,,8.437,7.571,29.393,11.626,,13.348,0.083,0.113,0.211,0.015,7919.436,5153.23,-391.231,-9.372
Luxembourg,2019,LUX,620167,34122291521,0.395,0.637,9.75,0.194,2.028,9.913,0.218,2.245,15.985,0.291,0.21,15.722,0.286,0.206,0.274,0.442,8.464,13.648,0.248,19.465,745.397,737.658,358.032,0.001,72.177,4.913,293.699,2.023,76250.828,1.386,0,0,1.608,2.593,16.141,17.417,0.163,0.263,0.596,0.961,0.324,0.522,7.397,11.927,0.122,0.076,47.288,0.024,0.026,0.024,0.002,0.047,0.045,0.029,0.046,0,0.03,0.001,0.051,0.016,0,0.021,0.003,0.06,0.017,0.024,0,0,0,0,10.801,10.01,-1.286,-13.191
Luxembourg,2020,LUX,630597,33850190319,0.399,0.633,8.069,-1.681,-17.24,8.257,-1.657,-16.711,13.093,0.244,0.204,12.796,0.238,0.199,0.236,0.374,7.258,11.51,0.214,19.864,753.466,745.914,358.268,0.002,73.646,5.1,299.601,2.085,64289.547,1.198,0,0,1.469,2.33,13.138,14.402,0.188,0.297,0.566,0.898,0.301,0.477,5.902,9.36,0.099,0.062,40.541,0.025,0.023,0.021,0.002,0.046,0.044,0.029,0.045,0,0.03,0.001,0.051,0.016,0,0.02,0.004,0.054,0.015,0.024,0,0,0,0,9.082,8.285,-0.811,-10.05
Macao,2019,MAC,670982,,0,0,1.213,-0.029,-2.36,,,,,,,1.807,,0.085,,,,,,0,52.318,,,0,1.685,,50.355,,21234.24,,0,0,0.256,0.382,1.956,1.961,,,0.049,0.073,0.054,0.081,0.956,1.425,,,14.248,0,0.003,,,0,0.003,,,0,0.001,,0.009,,0,0.003,,0.008,,0.002,0,0,0,0,1.316,1.313,,
Macao,2020,MAC,683069,,0,0,1.033,-0.18,-14.804,,,,,,,1.513,,0.08,,,,,,0,53.352,,,0,1.824,,51.249,,18908.174,,0,0,0.139,0.204,1.659,1.664,,,0.05,0.073,0.054,0.078,0.894,1.309,,,12.916,0,0.003,,,0,0.003,,,0,0.001,,0.009,,0,0.002,,0.008,,0.002,0,0,0,0,1.136,1.133,,
Madagascar,2019,MDG,28219559,37724649896,0.046,0.002,4.147,0.542,15.039,34.515,-1.858,-5.107,1.223,0.915,2.219,0.147,0.11,0.267,1.253,0.044,5.76,0.204,0.153,2.15,91.435,5024.782,10.945,0,,6636.821,78.339,,551.201,0.412,0,0,,,0.413,2.146,30.369,1.076,24.212,0.858,7.283,0.258,2.847,0.101,,,15.555,0.003,0.011,0.082,0.009,0.005,0.005,0.198,0.001,0,,0.751,0.014,,0,,0.621,0.023,,0.254,0.001,0.003,0.004,0,60.553,11.65,1.613,38.901
Madagascar,2020,MDG,28953560,35031864099,0.058,0.002,3.788,-0.358,-8.644,33.944,-0.572,-1.657,1.172,0.969,2.865,0.131,0.108,0.32,1.231,0.043,5.588,0.193,0.16,2.209,95.223,5058.726,12.176,0,,6666.976,80.838,,409.262,0.338,0,0,,,0.395,2.046,30.155,1.042,24.693,0.853,7.239,0.25,2.499,0.086,,,11.85,0.004,0.011,0.086,0.009,0.005,0.006,0.196,0.002,0,,0.751,0.014,,0,,0.668,0.023,,0.252,0.001,0.003,0.004,0,59.234,11.439,1.8,47.51
Malawi,2019,MWI,19025748,24881432457,0.112,0.006,1.695,0.005,0.314,13.222,-0.263,-1.949,0.695,0.531,1.655,0.089,0.068,0.212,0.212,0.011,2.711,0.142,0.109,2.725,48.471,1128.67,11.825,0,,1193.938,33.921,,419.864,0.321,0,0,,,0.298,1.394,11.527,0.606,7.364,0.387,5.026,0.264,1.371,0.072,,,7.988,0.007,0.005,0.032,0.001,0.007,0.003,0.044,0.002,0,,0.135,0.006,,0,,0.236,0.011,,0.046,0,0,0.001,0,26.52,5.67,1.016,59.902
Malawi,2020,MWI,19533885,25108605204,0.245,0.013,1.868,0.173,10.186,13.52,0.298,2.251,0.692,0.538,1.728,0.096,0.074,0.239,0.194,0.01,2.933,0.15,0.117,2.97,50.339,1142.19,12.019,0,,1205.59,35.35,,400.502,0.312,0,0,,,0.303,1.343,11.652,0.596,7.579,0.388,5.331,0.273,1.429,0.073,,,7.823,0.015,0.005,0.034,0.001,0.007,0.003,0.044,0.002,0,,0.136,0.006,,0,,0.258,0.013,,0.046,0,0,0.001,0,26.238,5.921,1.065,57.012
Malaysia,2019,MYS,33440590,8.29054E+11,9.121,0.273,277.673,15.026,5.721,354.528,1.489,0.422,10.602,0.428,0.286,8.303,0.335,0.224,80.139,2.396,275.232,8.23,0.332,233.163,5658.515,18288.201,1030.594,164.316,1665.162,13617.921,2565.279,,37119.496,1.497,3.898,0.117,89.764,2.684,9.123,11.73,76.855,2.298,29.156,0.872,7.973,0.238,94.751,2.833,,,1241.298,0.564,0.749,0.845,0.545,0.558,0.34,0.719,0.133,0.907,0.701,1.541,0.443,,0.901,1.185,1.573,0.769,,0.605,0.001,0.008,0.009,0,392.269,305.069,-2.441,-0.879
Malaysia,2020,MYS,33889554,7.83174E+11,11.292,0.333,262.159,-15.514,-5.587,330.264,-24.264,-6.844,9.745,0.422,0.276,7.736,0.335,0.219,94.073,2.776,262.96,7.759,0.336,244.455,5920.673,18618.465,1124.667,168.871,1748.907,13686.026,2633.774,,35317.523,1.528,4.555,0.134,83.744,2.471,8.514,10.886,68.105,2.01,28.139,0.83,8.177,0.241,68.495,2.021,,,1196.895,0.695,0.746,0.832,0.659,0.563,0.349,0.721,0.143,0.912,0.713,1.541,0.447,,1.139,1.114,1.508,0.627,,0.607,0.001,0.008,0.01,0,368.905,288.548,0.801,0.306
Maldives,2019,MDV,487737,,0,0,1.993,0.256,14.768,1.993,0.256,14.768,4.087,,0.32,4.087,,0.32,,,,,,0,23.252,23.254,,0,,0.009,23.252,,12777.098,,0,0,,,4.488,4.491,0,0,0.145,0.297,0.052,0.108,1.993,4.087,,,6.232,0,0.005,0.005,,0,0.001,0.001,,0,,0,0.004,,0,,0,0.016,,0.001,0,0,0,0,2.19,2.189,,
Maldives,2020,MDV,502127,,0,0,1.678,-0.315,-15.809,1.678,-0.315,-15.809,3.342,,0.33,3.342,,0.33,,,,,,0,24.93,24.933,,0,,0.009,24.93,,10117.312,,0,0,,,3.743,3.745,0,0,0.15,0.299,0.052,0.104,1.678,3.342,,,5.08,0,0.005,0.004,,0,0.001,0.001,,0,,0,0.004,,0,,0,0.015,,0.001,0,0,0,0,1.881,1.879,,
Mali,2019,MLI,21068405,28946666484,0.387,0.018,5.594,0.396,7.612,42.392,-0.989,-2.28,2.012,1.464,1.749,0.266,0.193,0.231,,,,,,2.263,65.731,1532.343,,0,,1849.197,63.469,,1150.75,0.838,0,0,,,0.395,3.019,36.798,1.747,25.656,1.218,13.652,0.648,5.207,0.247,,,24.244,0.024,0.015,0.101,,0.005,0.004,0.06,,0,,0.209,0.011,,0,,0.753,0.042,,0.094,0.001,0,0.001,0,63.609,8.325,,
Mali,2020,MLI,21713837,28586570096,0.581,0.027,6.33,0.736,13.157,46.721,4.328,10.21,2.152,1.634,1.742,0.292,0.221,0.236,,,,,,2.844,72.062,1579.063,,0,,1889.588,69.217,,1235.452,0.938,0,0,,,0.427,3.117,40.391,1.86,26.822,1.235,14.122,0.65,5.749,0.265,,,26.826,0.036,0.018,0.118,,0.007,0.004,0.061,,0,,0.213,0.012,,0,,0.894,0.053,,0.095,0.001,0,0.002,0,67.676,9.269,,
Malta,2019,MLT,504017,16757308198,0,0,1.649,0.101,6.558,1.595,0.075,4.935,3.164,0.095,0.04,3.272,0.098,0.041,0,0,15.868,31.482,0.947,0,102.739,97.985,6.41,0,1.942,-4.921,94.35,0.037,79262.109,2.384,0,0,0.708,1.405,3.539,3.66,-0.054,-0.108,0.172,0.342,0.044,0.088,0.94,1.866,0.001,0.001,39.949,0,0.004,0.004,0,0,0.006,0.004,0.001,0,0.001,-0.001,0.016,0,0,0.009,-0.001,0.008,0,0.003,0,0,0,0,1.844,1.784,14.218,862.136
Malta,2020,MLT,518212,15314071319,0,0,1.601,-0.048,-2.929,1.541,-0.054,-3.362,2.974,0.101,0.042,3.089,0.105,0.043,0,0,13.55,26.148,0.885,0,104.34,99.526,6.41,0,2.679,-4.981,95.214,0.038,71572.867,2.422,0,0,0.736,1.421,3.338,3.453,-0.06,-0.115,0.17,0.327,0.043,0.083,0.864,1.667,0.002,0.001,37.09,0,0.005,0.004,0,0,0.006,0.004,0.001,0,0.001,-0.001,0.016,0,0,0.01,-0.001,0.008,0,0.003,0,0,0,0,1.79,1.73,11.949,746.407
Marshall Islands,2019,MHL,44030,,0,0,0.147,0,0,0.147,0,0,3.329,,,3.329,,,,,,,,0,3.265,3.265,,0,,0,3.265,,,,0,0,,,,,0,0,,,0,0,0.147,3.329,,,,0,0,0,,0,0,0,,0,,0,0.001,,0,,0,0.001,,0,0,0,0,0,,,,
Marshall Islands,2020,MHL,42728,,0,0,0.147,0,0,0.147,0,0,3.43,,,3.43,,,,,,,,0,3.411,3.411,,0,,0,3.411,,,,0,0,,,,,0,0,,,0,0,0.147,3.43,,,,0,0,0,,0,0,0,,0,,0,0.001,,0,,0,0.001,,0,0,0,0,0,,,,
Mauritania,2019,MRT,4467714,14424796068,0,0,4.613,0.169,3.799,4.87,0.183,3.91,1.09,0.338,0.27,1.033,0.32,0.256,,,,,,0,75.039,117.191,,1.008,,56.104,73.594,,4034.871,1.25,0,0,,,1.441,3.822,0.257,0.057,8.79,1.967,3.109,0.696,4.613,1.033,,,18.027,0,0.012,0.012,,0,0.005,0.005,,0.006,,0.006,0.013,,0,,0.005,0.037,,0.023,0,0,0,0,17.075,6.44,,
Mauritania,2020,MRT,4600136,14289417678,0,0,4.782,0.168,3.647,5.08,0.21,4.306,1.104,0.355,0.274,1.039,0.335,0.258,,,,,,0,79.821,122.27,,1.008,,56.402,78.376,,4025.454,1.296,0,0,,,1.446,3.748,0.298,0.065,8.831,1.92,3.144,0.683,4.782,1.039,,,18.518,0,0.014,0.013,,0,0.005,0.005,,0.005,,0.006,0.013,,0,,0.007,0.044,,0.024,0,0,0,0,17.242,6.65,,
Mauritius,2019,MUS,1286269,28193387492,0,0,4.525,0.07,1.562,4.436,-0.114,-2.498,3.448,0.157,0.171,3.518,0.161,0.175,1.561,1.213,7.328,5.697,0.26,0,111.866,115.161,29.368,0,,0.294,82.497,,20152.344,0.919,0,0,,,4.014,4.115,-0.089,-0.07,0.567,0.441,0.207,0.161,2.964,2.304,,,25.921,0,0.012,0.011,0.011,0,0.007,0.005,0.004,0,,0,0.014,,0,,-0.002,0.024,,0.005,0,0,0,0,5.293,5.164,2.802,61.932
Mauritius,2020,MUS,1283231,24077716198,0,0,3.8,-0.725,-16.032,3.822,-0.614,-13.844,2.978,0.159,0.175,2.961,0.158,0.174,1.552,1.209,6.675,5.201,0.277,0,115.665,118.983,30.92,0,,0.316,84.745,,17047.527,0.909,0,0,,,3.449,3.574,0.022,0.017,0.566,0.441,0.185,0.144,2.248,1.751,,,21.876,0,0.011,0.01,0.011,0,0.007,0.005,0.004,0,,0,0.014,,0,,0,0.021,,0.005,0,0,0,0,4.586,4.425,2.875,75.665
Mexico,2019,MEX,125762978,2.0477E+12,19.411,0.154,468.236,-0.185,-0.039,530.38,97.37,22.487,4.217,0.259,0.235,3.723,0.229,0.207,45.272,0.36,562.917,4.476,0.275,645.105,19767.035,33866.527,1564.635,443.955,4048.574,14218.928,13064.767,,17971.641,1.104,8.43,0.067,157.099,1.249,4.413,5.554,62.144,0.494,144.505,1.149,42.112,0.335,238.024,1.893,,,2260.167,1.201,1.263,1.264,0.308,1.543,1.189,1.332,0.202,2.451,1.704,1.609,2.257,,1.95,2.074,1.272,1.931,,1.324,0.006,0.014,0.021,0.001,698.522,554.987,94.681,20.221
Mexico,2020,MEX,126799053,1.88018E+12,19.338,0.153,428.937,-39.299,-8.393,445.381,-85,-16.026,3.512,0.237,0.215,3.383,0.228,0.207,33.705,0.266,502.051,3.959,0.267,664.442,20195.973,34311.91,1598.34,454.797,4209.524,14235.371,13268.87,,16329.474,1.101,10.842,0.086,160.949,1.269,4.066,5.011,16.444,0.13,146.363,1.154,41.729,0.329,204.103,1.61,,,2070.562,1.191,1.22,1.123,0.236,1.53,1.189,1.329,0.203,2.457,1.717,1.603,2.25,,2.711,2.14,0.364,1.867,,1.322,0.006,0.014,0.021,0.001,635.45,515.552,73.114,17.045
Micronesia (country),2019,FSM,110293,,0,0,0.143,0,0,0.143,0,0,1.296,,0.298,1.296,,0.298,,,,,,0,4.133,4.133,,0,,0,4.133,,4349.02,,0,0,,,1.344,1.791,0,0,0.058,0.526,0.016,0.145,0.143,1.296,,,0.48,0,0,0,,0,0,0,,0,,0,0.001,,0,,0,0.001,,0,0,0,0,0,0.198,0.148,,
Micronesia (country),2020,FSM,110930,,0,0,0.143,0,0,0.143,0,0,1.288,,0.305,1.288,,0.305,,,,,,0,4.276,4.276,,0,,0,4.276,,4218.897,,0,0,,,1.336,1.766,0,0,0.057,0.512,0.016,0.142,0.143,1.288,,,0.468,0,0,0,,0,0,0,,0,,0,0.001,,0,,0,0.001,,0,0,0,0,0,0.196,0.148,,
Middle East (GCP),2019,,,,,,2710.947,,,,,,,,,,,,,,2598.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East (GCP),2020,,,,,,2653.588,,,,,,,,,,,,,,2576.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,2019,MDA,3112561,24150849841,0.528,0.17,5.378,0.027,0.507,1.599,0.086,5.662,0.514,0.066,0.039,1.728,0.223,0.13,0.367,0.118,,,,34.723,1331.661,1424.7,401.856,3.596,195.271,114.553,696.215,,13243.286,1.707,0,0,1.734,0.557,2.205,2.088,-3.779,-1.214,1.985,0.638,1.056,0.339,2.75,0.883,,,41.221,0.033,0.015,0.004,0.002,0.083,0.08,0.056,0.052,0.02,0.082,0.013,0.12,,0,0.023,-0.077,0.022,,0.052,0,0.001,0.001,0,6.498,6.862,,
Moldova,2020,MDA,3069135,22146328756,0.471,0.153,5.113,-0.265,-4.931,2.137,0.538,33.618,0.696,0.096,0.054,1.666,0.231,0.129,0.286,0.093,,,,35.194,1336.774,1426.837,402.142,3.596,197.037,111.576,698.806,,12957.657,1.796,0,0,1.766,0.575,2.161,2.134,-2.976,-0.97,1.983,0.646,0.972,0.317,2.59,0.844,,,39.769,0.029,0.015,0.005,0.002,0.081,0.079,0.055,0.051,0.019,0.08,0.013,0.118,,0,0.023,-0.066,0.024,,0.051,0,0.001,0.001,0,6.549,6.634,,
Monaco,2019,MCO,38131,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
Monaco,2020,MCO,38074,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
