country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Dominican Republic,2020,DOM,11008298,1.62255E+11,1.855,0.169,26.228,-2.243,-7.88,26.573,-2.519,-8.658,2.414,0.164,0.261,2.383,0.162,0.257,6.519,0.592,34.104,3.098,0.21,48.769,743.607,2342.138,54.801,0,27.93,1627.173,612.107,,9261.561,0.628,0,0,2.943,0.267,2.863,3.735,0.346,0.031,11.595,1.053,3.595,0.327,14.911,1.355,,,101.954,0.114,0.075,0.067,0.046,0.112,0.044,0.091,0.007,0,0.011,0.183,0.104,,0,0.039,0.008,0.136,,0.084,0,0.001,0.001,0,41.114,31.512,7.877,30.032
East Timor,2019,TLS,1300946,,0,0,0.675,0.058,9.466,4.346,0.316,7.855,3.34,,1.601,0.519,,0.249,,,,,,0,8.897,96.569,,3.272,0,362.263,5.625,,2086.275,,0.071,0.054,0,0,0.828,3.91,3.67,2.821,1.223,0.94,0.286,0.22,0.605,0.465,,,2.714,0,0.002,0.01,,0,0.001,0.004,,0.018,0,0.041,0.001,,0.016,0,0.075,0.005,,0.012,0,0,0,0,5.086,1.078,,
East Timor,2020,TLS,1326051,,0,0,0.646,-0.029,-4.342,4.998,0.653,15.018,3.769,,1.922,0.487,,0.248,,,,,,0,9.543,101.567,,3.331,0,366.615,6.211,,1961.227,,0.06,0.045,0,0,0.745,3.993,4.352,3.282,1.074,0.81,0.262,0.198,0.586,0.442,,,2.601,0,0.002,0.013,,0,0.001,0.004,,0.018,0,0.041,0.001,,0.015,0,0.096,0.005,,0.012,0,0,0,0,5.295,0.987,,
Ecuador,2019,ECU,17340017,1.76729E+11,2.21,0.127,40.083,1.631,4.243,66.284,-3.749,-5.353,3.823,0.375,0.314,2.312,0.227,0.19,,,46.481,2.681,0.263,66.034,1187.893,5606.357,,75.51,31.935,4791.652,1013.851,,12187.595,1.196,1.728,0.1,1.213,0.07,3.194,5.629,26.201,1.511,23.442,1.352,4.946,0.285,34.933,2.015,,,211.333,0.137,0.108,0.158,,0.158,0.071,0.221,,0.417,0.013,0.542,0.175,,0.4,0.016,0.536,0.283,,0.253,0.001,0.003,0.004,0,97.606,55.389,6.398,15.962
Ecuador,2020,ECU,17546058,1.62965E+11,2.03,0.116,32.473,-7.609,-18.984,45.056,-21.228,-32.026,2.568,0.276,0.246,1.851,0.199,0.178,,,37.595,2.143,0.231,68.064,1220.366,5651.413,,77.459,32.965,4804.235,1041.316,,10421.851,1.122,1.948,0.111,1.03,0.059,2.667,4.374,12.582,0.717,22.87,1.303,4.868,0.277,27.465,1.565,,,182.862,0.125,0.092,0.114,,0.157,0.072,0.219,,0.418,0.013,0.541,0.177,,0.487,0.014,0.279,0.251,,0.251,0.001,0.003,0.004,0,76.739,46.792,5.122,15.774
Egypt,2019,EGY,107553159,1.28925E+12,22.768,0.212,234.06,-7.843,-3.242,236.731,-7.641,-3.127,2.201,0.184,0.226,2.176,0.182,0.223,10.124,0.094,246.371,2.291,0.191,480.495,6199.831,6520.296,159.311,121.583,1893.208,363.67,3545.235,,9749.406,0.813,4.364,0.041,120.52,1.121,2.601,2.823,2.671,0.025,46.912,0.436,21.257,0.198,76.284,0.709,,,1048.579,1.409,0.631,0.564,0.069,1.149,0.373,0.257,0.021,0.671,0.797,0.041,0.612,,1.009,1.591,0.055,0.619,,0.356,0.002,0.003,0.006,0,303.625,279.735,12.31,5.26
Egypt,2020,EGY,109315118,1.30778E+12,21.615,0.198,246.323,12.263,5.239,249.394,12.663,5.349,2.281,0.191,0.253,2.253,0.188,0.25,5.401,0.049,259.97,2.378,0.199,502.109,6446.154,6769.689,164.712,126.019,2009.839,366.741,3643.475,,9028.072,0.755,4.437,0.041,116.631,1.067,2.673,2.893,3.07,0.028,46.511,0.425,21.796,0.199,98.241,0.899,,,986.905,1.331,0.701,0.629,0.038,1.156,0.38,0.262,0.021,0.681,0.82,0.041,0.618,,1.109,1.551,0.068,0.899,,0.358,0.002,0.003,0.006,0,316.237,292.151,13.647,5.54
El Salvador,2019,SLV,6222316,56393644127,0.457,0.073,7.634,1.182,18.319,7.89,1.192,17.801,1.268,0.14,0.196,1.227,0.135,0.189,0,0,10.575,1.7,0.188,16.914,225.908,821.949,0.192,0,,658.117,208.802,,6477.021,0.715,0,0,,,1.513,1.42,0.256,0.041,2.882,0.463,0.894,0.144,7.178,1.154,,,40.302,0.028,0.021,0.019,0,0.04,0.014,0.032,0,0,,0.074,0.036,,0,,0.005,0.058,,0.043,0,0,0.001,0,8.837,9.412,2.941,38.527
El Salvador,2020,SLV,6234679,51960808936,0.357,0.057,6.135,-1.499,-19.639,6.295,-1.595,-20.221,1.01,0.121,0.187,0.984,0.118,0.183,0,0,9.032,1.449,0.174,17.271,232.043,828.244,0.192,0,,658.277,214.581,,5385.433,0.646,0,0,,,1.267,1.047,0.16,0.026,2.992,0.48,0.982,0.158,5.778,0.927,,,33.576,0.022,0.017,0.016,0,0.04,0.014,0.032,0,0,,0.074,0.036,,0,,0.004,0.053,,0.042,0,0,0.001,0,6.529,7.897,2.897,47.228
Equatorial Guinea,2019,GNQ,1670184,20617750095,0,0,5.514,-1.521,-21.618,6.9,-1.211,-14.93,4.131,0.335,0.346,3.301,0.267,0.276,,,,,,0,128.486,89.78,,44.014,59.77,-105.849,24.702,,11941.993,0.967,0.534,0.32,3.884,2.325,6.107,7.362,1.386,0.83,4.657,2.788,0.052,0.031,1.096,0.656,,,19.945,0,0.015,0.016,,0,0.008,0.004,,0.243,0.025,-0.012,0.004,,0.124,0.051,0.028,0.009,,0.026,0,0,0,0,12.295,10.199,,
